url,title,price,mileage,year,month,gear_and_displacement,engine_info,location
https://www.che168.com/dealer/478339/51701848.html,Model Y 2021款 Performance高性能全轮驱动版,нет данных,57000,2022,06,自动 / 0L,动  机纯电动 486马力,Хэфэй
https://www.che168.com/dealer/360983/49016460.html,Model Y 2021款 改款 长续航全轮驱动版 3D5,198000,43000,2021,08,自动 / 0L,动  机纯电动 431马力,Уси
https://www.che168.com/dealer/97866/51673314.html,Model Y 2021款 长续航全轮驱动版 3D7,189000,46000,2021,03,自动 / 0L,动  机纯电动 450马力,Ханчжоу
https://www.che168.com/dealer/256370/51751763.html,Model Y 2021款 长续航全轮驱动版 3D7,236000,1000,2021,07,自动 / 0L,动  机纯电动 450马力,Шэньчжэнь
https://www.che168.com/dealer/229212/51778626.html,Model Y 2021款 长续航全轮驱动版,191000,55000,2021,03,自动 / 0L,动  机纯电动 431马力,Куньмин
https://www.che168.com/dealer/402859/50266222.html,Model Y 2021款 长续航全轮驱动版 3D7,166900,84000,2021,05,自动 / 0L,动  机纯电动 450马力,Шанхай
https://www.che168.com/dealer/540465/51607499.html,Model Y 2021款 长续航全轮驱动版,182800,48400,2021,06,自动 / 0L,动  机纯电动 431马力,Куньмин
https://www.che168.com/dealer/594416/51227884.html,Model Y 2022款 长续航全轮驱动版,209900,48700,2022,06,自动 / 0L,动  机纯电动 450马力,Хэфэй
https://www.che168.com/dealer/522065/51739984.html,Model Y 2021款 长续航全轮驱动版 3D7,173000,80000,2021,08,自动 / 0L,动  机纯电动 450马力,Чэнду
https://www.che168.com/dealer/382436/51727892.html,Model Y 2021款 长续航全轮驱动版,189800,56000,2021,03,自动 / 0L,动  机纯电动 431马力,Вэньчжоу
https://www.che168.com/dealer/356144/51479520.html,Model Y 2021款 长续航全轮驱动版,165000,40000,2021,05,自动 / 0L,动  机纯电动 431马力,Вэньчжоу
https://www.che168.com/dealer/480840/51793798.html,Model Y 2021款 长续航全轮驱动版 3D7,168000,113000,2021,07,自动 / 0L,动  机纯电动 450马力,Шанхай
https://www.che168.com/dealer/74966/51742704.html,Model Y 2021款 长续航全轮驱动版 3D7,193000,35000,2021,03,自动 / 0L,动  机纯电动 450马力,Чэнду
https://www.che168.com/dealer/74966/51714858.html,Model Y 2021款 长续航全轮驱动版,189000,38000,2021,04,自动 / 0L,动  机纯电动 431马力,Шанхай
https://www.che168.com/dealer/600864/51698148.html,Model Y 2021款 长续航全轮驱动版 3D7,196000,30000,2021,06,自动 / 0L,动  机纯电动 450马力,Нинбо
https://www.che168.com/dealer/551953/50599647.html,Model Y 2021款 长续航全轮驱动版,186800,54000,2021,06,自动 / 0L,动  机纯电动 431马力,Чунцин
https://www.che168.com/dealer/495213/51799314.html,Model Y 2022款 长续航全轮驱动版,216000,20000,2022,08,自动 / 0L,动  机纯电动 450马力,Ханчжоу
https://www.che168.com/dealer/548981/51744263.html,Model Y 2021款 长续航全轮驱动版,178800,72000,2021,02,自动 / 0L,动  机纯电动 431马力,Сиань
https://www.che168.com/dealer/401929/51360479.html,Model Y 2021款 长续航全轮驱动版,188000,80000,2021,05,自动 / 0L,动  机纯电动 431马力,Циндао
https://www.che168.com/dealer/510024/51692192.html,Model Y 2021款 长续航全轮驱动版,183000,60000,2021,11,自动 / 0L,动  机纯电动 431马力,Чэнду
https://www.che168.com/dealer/364029/51467714.html,Model Y 2021款 Performance高性能全轮驱动版,239800,15000,2021,12,自动 / 0L,动  机纯电动 486马力,Хэфэй
https://www.che168.com/dealer/544409/51533307.html,Model Y 2021款 长续航全轮驱动版,175800,80000,2021,04,自动 / 0L,动  机纯电动 431马力,Шицзячжуан
https://www.che168.com/dealer/377312/49950654.html,Model Y 2021款 Performance高性能全轮驱动版,228900,39000,2022,05,自动 / 0L,动  机纯电动 486马力,Фошань
https://www.che168.com/dealer/388275/50376099.html,Model Y 2021款 长续航全轮驱动版,180000,60000,2021,03,自动 / 0L,动  机纯电动 431马力,Шанхай
https://www.che168.com/dealer/330959/51818282.html,Model Y 2022款 长续航全轮驱动版,208800,29000,2022,06,自动 / 0L,动  机纯电动 450马力,Чжэнчжоу
https://www.che168.com/dealer/616357/51818022.html,Model Y 2021款 长续航全轮驱动版,176800,30000,2021,02,自动 / 0L,动  机纯电动 431马力,Чэнду
https://www.che168.com/dealer/483833/51776842.html,Model Y 2022款 长续航全轮驱动版,192800,58400,2021,12,自动 / 0L,动  机纯电动 450马力,Чанша
https://www.che168.com/dealer/514706/51719282.html,Model Y 2021款 长续航全轮驱动版 3D7,186800,33000,2021,07,自动 / 0L,动  机纯电动 450马力,Фошань
https://www.che168.com/dealer/417694/51683665.html,Model Y 2022款 长续航全轮驱动版,199800,70000,2022,06,自动 / 0L,动  机纯电动 450马力,Шанхай
https://www.che168.com/dealer/501901/51605337.html,Model Y 2021款 长续航全轮驱动版,178800,96000,2021,04,自动 / 0L,动  机纯电动 431马力,Дунгуань
https://www.che168.com/dealer/255424/51430908.html,Model Y 2021款 长续航全轮驱动版,193800,56000,2021,03,自动 / 0L,动  机纯电动 431马力,Ланьчжоу
https://www.che168.com/dealer/611242/51260365.html,Model Y 2021款 长续航全轮驱动版 3D7,188000,71000,2021,05,自动 / 0L,动  机纯电动 450马力,Шицзячжуан
https://www.che168.com/dealer/363125/51732898.html,Model Y 2021款 长续航全轮驱动版,188000,28000,2021,12,自动 / 0L,动  机纯电动 431马力,Нинбо
https://www.che168.com/dealer/548024/51537389.html,Model Y 2021款 长续航全轮驱动版,188100,38000,2021,12,自动 / 0L,动  机纯电动 431马力,Шанхай
https://www.che168.com/dealer/548024/51365450.html,Model Y 2021款 长续航全轮驱动版,185000,38000,2021,11,自动 / 0L,动  机纯电动 431马力,Шанхай
https://www.che168.com/dealer/456303/50795185.html,Model Y 2021款 长续航全轮驱动版 3D7,191900,63000,2021,08,自动 / 0L,动  机纯电动 450马力,Шаосин
https://www.che168.com/dealer/610693/51639644.html,Model Y 2021款 长续航全轮驱动版 3D7,178000,80000,2021,05,自动 / 0L,动  机纯电动 450马力,Чунцин
https://www.che168.com/dealer/120122/51694963.html,Model Y 2021款 长续航全轮驱动版,183800,40000,2021,05,自动 / 0L,动  机纯电动 431马力,Наньнин
https://www.che168.com/dealer/604424/50871429.html,Model Y 2021款 长续航全轮驱动版,208500,23000,2022,02,自动 / 0L,动  机纯电动 431马力,Нинбо
https://www.che168.com/dealer/460483/51781616.html,Model Y 2021款 长续航全轮驱动版 3D7,174800,82900,2021,05,自动 / 0L,动  机纯电动 450马力,Циндао
https://www.che168.com/dealer/378919/51780625.html,Model Y 2022款 长续航全轮驱动版,218000,35800,2022,06,自动 / 0L,动  机纯电动 450马力,Куньмин
https://www.che168.com/dealer/613399/51740750.html,Model Y 2021款 长续航全轮驱动版,185000,60000,2021,03,自动 / 0L,动  机纯电动 431马力,Ханчжоу
https://www.che168.com/dealer/520723/51624216.html,Model Y 2021款 长续航全轮驱动版 3D7,182800,81000,2021,12,自动 / 0L,动  机纯电动 450马力,Вэйфан
https://www.che168.com/dealer/432431/50417666.html,Model Y 2021款 长续航全轮驱动版,188000,31000,2021,01,自动 / 0L,动  机纯电动 431马力,Цзиньхуа
https://www.che168.com/dealer/599376/51729606.html,Model Y 2021款 长续航全轮驱动版,193000,39000,2021,03,自动 / 0L,动  机纯电动 431马力,Сямынь
https://www.che168.com/dealer/434470/51720894.html,Model Y 2021款 长续航全轮驱动版,215000,30000,2022,06,自动 / 0L,动  机纯电动 431马力,Тайчжоу (Чжэцзян)
https://www.che168.com/dealer/512189/49125332.html,Model Y 2022款 Performance高性能全轮驱动版,249900,40000,2022,06,自动 / 0L,动  机纯电动 486马力,Лоян
https://www.che168.com/dealer/604102/51771646.html,Model Y 2022款 长续航全轮驱动版,195000,40000,2022,06,自动 / 0L,动  机纯电动 450马力,Ухань
https://www.che168.com/dealer/615299/51733410.html,Model Y 2022款 长续航全轮驱动版,205000,42000,2022,06,自动 / 0L,动  机纯电动 450马力,Ухань
https://www.che168.com/dealer/451288/49659642.html,Model Y 2021款 长续航全轮驱动版,209800,49000,2021,04,自动 / 0L,动  机纯电动 431马力,Шицзячжуан
https://www.che168.com/dealer/538035/51760571.html,Model Y 2022款 Performance高性能全轮驱动版,247800,37000,2022,06,自动 / 0L,动  机纯电动 486马力,Чунцин
https://www.che168.com/dealer/416603/51791841.html,Model Y 2021款 Performance高性能全轮驱动版,229800,50000,2022,01,自动 / 0L,动  机纯电动 486马力,Шэньян
https://www.che168.com/dealer/603840/51771142.html,Model Y 2022款 改款 长续航全轮驱动版,218800,20000,2022,04,自动 / 0L,动  机纯电动 450马力,Ухань
https://www.che168.com/dealer/506469/49610411.html,Model Y 2021款 Performance高性能全轮驱动版,268000,51000,2022,03,自动 / 0L,动  机纯电动 486马力,Тяньцзинь
https://www.che168.com/dealer/546998/51798179.html,Model Y 2021款 长续航全轮驱动版 3D7,195800,40000,2021,07,自动 / 0L,动  机纯电动 450马力,Цзиньхуа
https://www.che168.com/dealer/608999/51746210.html,Model Y 2021款 长续航全轮驱动版,173000,60000,2021,06,自动 / 0L,动  机纯电动 431马力,Чжэнчжоу
https://www.che168.com/dealer/563240/51729175.html,Model Y 2022款 长续航全轮驱动版,202000,8000,2021,03,自动 / 0L,动  机纯电动 450马力,Чэнду
https://www.che168.com/dealer/549655/51596845.html,Model Y 2022款 长续航全轮驱动版,223900,24000,2022,01,自动 / 0L,动  机纯电动 450马力,Нанкин
https://www.che168.com/dealer/239193/51446479.html,Model Y 2021款 长续航全轮驱动版,175800,70000,2021,07,自动 / 0L,动  机纯电动 431马力,Чунцин
https://www.che168.com/dealer/342380/51293705.html,Model Y 2021款 长续航全轮驱动版 3D7,188800,43000,2021,03,自动 / 0L,动  机纯电动 450马力,Цзясин
https://www.che168.com/dealer/441419/50794694.html,Model Y 2021款 长续航全轮驱动版,198000,40000,2021,03,自动 / 0L,动  机纯电动 431马力,Цзинань
https://www.che168.com/dealer/427283/50684851.html,Model Y 2021款 长续航全轮驱动版,168000,69000,2021,05,自动 / 0L,动  机纯电动 431马力,Гуанчжоу
https://www.che168.com/dealer/615249/51717317.html,Model Y 2022款 长续航全轮驱动版,196800,32000,2022,06,自动 / 0L,动  机纯电动 450马力,Чэнду
https://www.che168.com/dealer/603967/51653136.html,Model Y 2022款 长续航全轮驱动版,198000,26000,2022,06,自动 / 0L,动  机纯电动 450马力,Ухань
https://www.che168.com/dealer/369430/51760777.html,Model Y 2022款 长续航全轮驱动版,215800,40000,2022,06,自动 / 0L,动  机纯电动 450马力,Чанчжоу
https://www.che168.com/dealer/508886/51790967.html,Model Y 2021款 长续航全轮驱动版,179800,40000,2021,03,自动 / 0L,动  机纯电动 431马力,Шанхай
https://www.che168.com/dealer/600611/51542374.html,Model Y 2021款 长续航全轮驱动版,198000,50000,2021,07,自动 / 0L,动  机纯电动 431马力,Сучжоу
https://www.che168.com/dealer/613567/51484764.html,Model Y 2022款 长续航全轮驱动版,200000,34000,2022,06,自动 / 0L,动  机纯电动 450马力,Чэнду
https://www.che168.com/dealer/613567/51484524.html,Model Y 2022款 长续航全轮驱动版,198000,24000,2022,06,自动 / 0L,动  机纯电动 450马力,Чэнду
https://www.che168.com/dealer/223768/49528761.html,Model Y 2021款 改款 长续航全轮驱动版 3D5,215800,46000,2021,07,自动 / 0L,动  机纯电动 431马力,Тайчжоу (Чжэцзян)
https://www.che168.com/dealer/356734/51731635.html,Model Y 2021款 长续航全轮驱动版,172800,70000,2021,09,自动 / 0L,动  机纯电动 431马力,Шэньчжэнь
https://www.che168.com/dealer/615627/51733039.html,Model Y 2021款 改款二 长续航全轮驱动版,172000,67500,2021,03,自动 / 0L,动  机纯电动 450马力,Пекин
https://www.che168.com/dealer/508144/50656239.html,Model Y 2022款 长续航全轮驱动版,208000,34000,2022,06,自动 / 0L,动  机纯电动 450马力,Ланьчжоу
https://www.che168.com/dealer/525871/51817040.html,Model Y 2021款 长续航全轮驱动版,173800,67000,2021,02,自动 / 0L,动  机纯电动 431马力,Баодин
https://www.che168.com/dealer/496195/51812996.html,Model Y 2022款 Performance高性能全轮驱动版,229800,50000,2022,03,自动 / 0L,动  机纯电动 486马力,Ханчжоу
https://www.che168.com/dealer/416603/51733554.html,Model Y 2021款 Performance高性能全轮驱动版,229800,56000,2022,06,自动 / 0L,动  机纯电动 486马力,Шэньян
https://www.che168.com/dealer/417694/51810895.html,Model Y 2022款 Performance高性能全轮驱动版,226800,55000,2021,12,自动 / 0L,动  机纯电动 486马力,Шанхай
https://www.che168.com/dealer/417694/51810765.html,Model Y 2021款 长续航全轮驱动版,173800,85000,2021,05,自动 / 0L,动  机纯电动 431马力,Шанхай
https://www.che168.com/dealer/547533/51810338.html,Model Y 2022款 长续航全轮驱动版,215800,31000,2022,06,自动 / 0L,动  机纯电动 450马力,Дунгуань
